Award Year,Organization Receiving Award,Use of Funds,Award Type,Amount,Type of Assistance
FY2021,"Crux Gym LLC / Venue 252, LLC",Commercial Rent Relief,Grant,18000,Commercial Rent Relief and Operational Assistance
FY2021,BFS SPORTS LLC / 1203 Willamette LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Bitcork, Inc / 1203 Willamette LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"BARTINI SPHERE, INC. / 1203 Willamette LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Epic Dream Design LLC / City of Eugene - Finance,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,flex Studios LLC / City of Eugene - Finance,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Robin Irving LLC / City of Eugene - Finance,Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,Noodle and Cafe / Churchill Shopping Center LLC,Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,"krautsack, LLC / Santa Clara Square LLC/Cornell, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,Sholas Quality Plus Cleaners / Churchill Shopping Center LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Lotus Garden Vegetarian Restaurant / Hood Family LLC,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Moonshadow Mobile, Inc. / Lane Council of Governments",Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"K.C Designs dba Framin' Artworks / Nola 41, LLC, Cass Cochrane LLC, William R Newland, LLC, 1280 Oak LLC, Patric Campbell",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"StarFit LLC / NOLA-41 LLC, Cass Cochran LLC, William R Newland LLC, 1280 Oak LLC",Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Patrick Olsen Auto Repair / Kryl Family Investments,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Tran Ly / Churchill Shopping Center LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"The Drake Bar, Inc / The Dan Davis Family, LLC",Commercial Rent Relief,Grant,32000,Commercial Rent Relief and Operational Assistance
FY2021,"River Nails &Spa 1 LLC / Pigeon, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Tailored Coffee Roasters / Sandmar, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"El Super Taco INC / JOLO Properties, LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Perfect Nails & Spa / Churchill Shopping Center LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Hellier Hearth And Home LLC / J & L Properties, LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Rooted Space LLC /,Commercial Rent Relief,Grant,31000,Commercial Rent Relief and Operational Assistance
FY2021,"Bo & Vine Eugene LLC / Broadway & Pearl Associates, LLC",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,Starlight Inc. / Hillberry Holdings LLC,Commercial Rent Relief,Grant,34000,Commercial Rent Relief and Operational Assistance
FY2021,Broadway Metro / RSM Investments Inc,Commercial Rent Relief,Grant,54000,Commercial Rent Relief and Operational Assistance
FY2021,"Oregon Sports / Broadway & Pearl Associates, LLC",Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Profound Strength, LLC / Miner Building Partnership",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Oakshire, INC. / LaBob Properties 1, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Cornbread Cafe, LLC / Pacific Oregon Venture of Eugene, LLC",Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Shari's / Santa Clara Square LLC/Cornell, LLC",Commercial Rent Relief,Grant,71000,Commercial Rent Relief and Operational Assistance
FY2021,"Jewelry Designs by Victor / Santa Clara Square LLC/Cornell, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"J3R LLC dba Anytime Fitness / Santa Clara Square LLC/Cornell, LLC",Commercial Rent Relief,Grant,28000,Commercial Rent Relief and Operational Assistance
FY2021,"Alesong Brewing / Obie Companies, Inc.",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Bennett Vineyards & Wine Company llc / Obie Companies, Inc.",Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,"Mindy's / Obie Companies, Inc.",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Thai Spice / Obie Companies, Inc.",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Eugene Mindworks / Obie Companies, Inc. dba 5 Pearl, LLC",Commercial Rent Relief,Grant,34000,Commercial Rent Relief and Operational Assistance
FY2021,TechMedic Computers / Big Y LLC,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Eugene Healing Works / Eugene Profession Group, LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,PNK LLC dba Old Nick's Pub / MW1 LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Teriyaki Madness / Santa Clara Square LLC/Cornell, LLC",Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,Lawrence Air Service Enterprises Inc / City of Eugene - Eugene Airport,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Cafe Glendi LLC / Obie Companies, Inc.",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,Christine & Company Salon / Valley River South LLC,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Melange / Obie Companies, Inc.",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Royal India Cuisine, LLC / Broadway & Pearl Associates, LLC",Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,"Mami?s Mexican Grill, Inc / M.L. Butler, LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Marley Girls inc. / KWSB Riverwalk Owner, LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,PTF SALES INC / Marjan LLC,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"v and n investments, llc / Pacific Premier Builder Inc",Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,USA Management Inc DBA Ja Makin Me Tan / 17809 NE Marine Drive C10 Portland OR 97230,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Image Makers Hair Salon / Dean Hurford, Inc.",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Alem Adult Foster Home LLC /,Commercial Rent Relief,Grant,45000,Commercial Rent Relief and Operational Assistance
FY2021,"Bay Street Grille LLC / Atlantis Properties, LLC",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,"Q Nails & Spa / BURKE Butler PROPERTIES, L.L.C.",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Beachcomber Tavern, Inc / Atlantis Properties, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Drawstrings of Malibu / Atlantis Properties, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Old Town Barbershop / Atlantis Properties, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Socks To a T / Atlantis Properties, LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Dunesday Gaming LLC /,Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"The River Gallery / Atlantis Properties, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Periwinkle Station / Atlantis Properties, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"City Lights Cinemas, LLC / Cuddeback Co.",Commercial Rent Relief,Grant,30000,Commercial Rent Relief and Operational Assistance
FY2021,"Floors Direct, LLC / Mulvaney Properties LLC",Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,north west Pacific Engraving / Action Realty,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Frye's Action Athletics / Gerald F Frye Revocable Living Trust,Commercial Rent Relief,Grant,23000,Commercial Rent Relief and Operational Assistance
FY2021,FG coin LLC / Tanner-Zonshine,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Buffet dynasty inc / Howard Tanner and Don Zonshine, ET AL",Commercial Rent Relief,Grant,23000,Commercial Rent Relief and Operational Assistance
FY2021,Bella Donna LLC / BBB real estate holdings llc,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Matt Neill Electronic Organ Sales/serv / ZURBRUGG DEVELOPMENT CO.,Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,FG Landings Inc / ZURBRUGG DEVELOPMENT CO.,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,MINS CAFE LLC / WJM Benefit Services LLC,Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,El Gordito Feliz LLC / Tanner-Zonshine,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,To The Roots Coffee / ZURBRUGG DEVELOPMENT CO.,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Karma Day Spa & Salon / Zurbrugg Construction Co,Commercial Rent Relief,Grant,500,Commercial Rent Relief and Operational Assistance
FY2021,"Forest Grove Cleaners / D&R Property Investors, LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"The Growler Garage, LLC / Jesse Quinn LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Garibaldi Portside Bistro / Port of Garibaldi,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Iron Den / Calder Rental Properties, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"New Bees Early Childhood Development Center, LLC / Technical Enterprises, LLC",Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Portland Ave Pizza Co LLC. / World Standard Training LLC,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,DEAL ENTERPRISES LLC / John Niemeyer,Commercial Rent Relief,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,"DealBidz, LLC / John Niemeyer",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Team KO Tennis, LLC / Clackamas River Racquet Club",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,"Enchanted Beauty Salon LLC / Parkway Village, LLC",Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,Tierra del Sol / Norris Properties,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,The Hair Cut Stop /,Commercial Rent Relief,Grant,500,Commercial Rent Relief and Operational Assistance
FY2021,THE ZOO HEALTH CLUB LLC / G. P. Ventures LLC,Commercial Rent Relief,Grant,43000,Commercial Rent Relief and Operational Assistance
FY2021,"Le Aria Nails / RI - Grants Pass, LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Heather Holt / Lovelace Properties LLC,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,Steve Scruggs / Hamlyn Family LLC,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Julie's Uptown Bar and Grill llc / Coleman Properties, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Insurance Lounge LLC /,Commercial Rent Relief,Grant,72000,Commercial Rent Relief and Operational Assistance
FY2021,"FranknStene's Monster Growlers, LLC / Hamlyn Family, LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,G St. barber co / Carl D. Johnson Trust,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,RITA?S LLC / Carl D. Johnson Trust,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Leo's BBQ / Carl D. Johnson Trust,Commercial Rent Relief,Grant,30000,Commercial Rent Relief and Operational Assistance
FY2021,Ahi sushi and sake bar / Carl D. Johnson Trust,Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,Bread & Butter LLC /,Commercial Rent Relief,Grant,26000,Commercial Rent Relief and Operational Assistance
FY2021,"The Haul LLC / 9th & I Properties, LLC",Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,Castro & Cantu LLC / Lyrrad LLC,Commercial Rent Relief,Grant,37000,Commercial Rent Relief and Operational Assistance
FY2021,Banwait Bears Inc. DBA Black Bear Diner / OBrien Kiernan Investment Co.,Commercial Rent Relief,Grant,52000,Commercial Rent Relief and Operational Assistance
FY2021,Furniture Showcase Inc / Trinity Properties LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Red Fred Productions / Miller & Main LLC,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Time out bar and grill / Glisan Center LLC,Commercial Rent Relief,Grant,26000,Commercial Rent Relief and Operational Assistance
FY2021,"Rosewood fashion LLC / College Square Center, LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Hope's Bake Shop / Hill Investment Properties, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,Salón De Belleza De Leon / Glisan Center LLC,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"A to Z Signs, LLC / Harsch Investment properties",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Pacific Fitness & Coaching, LLC / KBK Properties",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"Inspire Dance Centre / Hill Investment Properties, LLC",Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,"A Touch of Class Salon and Spa LLC / Hill Investment Properties, LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,pho dot com / Pacific Investors,Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,Sunrise Salon / Burnside Plaza LLC,Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,Mt. Hood Dance Academy LLP / Pacific Investors,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Cine Escapes L.L.C. / Pacific Investors,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"MT HOOD ADULT DAY CENTER LLC / Macro Graphics, Inc.",Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
